date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:29	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Oct%202017%2010:08:27%20GMT	http://fontawesome.dashgame.com/robots.txt		(from )
18:08:38	250915/250915	---MC-	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202017%2010:08:27%20GMT	http://fontawesome.dashgame.com/	C:/Users/Administrator/Desktop/font-awsome/font-awsome/fontawesome.dashgame.com/index.html	(from )
18:08:38	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-53a16fd205780%22	http://fontawesome.dashgame.com/assets/ico/favicon.ico	C:/Users/Administrator/Desktop/font-awsome/font-awsome/fontawesome.dashgame.com/assets/ico/favicon.ico	(from http://fontawesome.dashgame.com/)
18:08:39	158472/158472	---M--	200	added ('OK')	text/css	etag:%2226b08-53a16fa80f480%22	http://fontawesome.dashgame.com/assets/css/site.css	C:/Users/Administrator/Desktop/font-awsome/font-awsome/fontawesome.dashgame.com/assets/css/site.css	(from http://fontawesome.dashgame.com/)
18:08:41	1729/1729	---M--	200	added ('OK')	text/css	etag:%226c1-53a16fa627000%22	http://fontawesome.dashgame.com/assets/css/pygments.css	C:/Users/Administrator/Desktop/font-awsome/font-awsome/fontawesome.dashgame.com/assets/css/pygments.css	(from http://fontawesome.dashgame.com/)
18:08:42	37414/37414	---M--	200	added ('OK')	text/css	etag:%229226-53fdee8c3f800%22	http://fontawesome.dashgame.com/assets/font-awesome/css/font-awesome.css	C:/Users/Administrator/Desktop/font-awsome/font-awsome/fontawesome.dashgame.com/assets/font-awesome/css/font-awesome.css	(from http://fontawesome.dashgame.com/)
18:08:42	6741/6741	---MCZ	200	added ('OK')	text/css	etag:W/%22bc96861d9899e4e68fb2e59c363d8c60%22	http://cdn.bootcss.com/toastr.js/latest/css/toastr.min.css	C:/Users/Administrator/Desktop/font-awsome/font-awsome/cdn.bootcss.com/toastr.js/latest/css/toastr.min.css	(from http://fontawesome.dashgame.com/)
18:08:42	146/146	---M--	200	added ('OK')	text/css	etag:%2292-53fee66062b80%22	http://fontawesome.dashgame.com/assets/css/fix.css	C:/Users/Administrator/Desktop/font-awsome/font-awsome/fontawesome.dashgame.com/assets/css/fix.css	(from http://fontawesome.dashgame.com/)
18:08:46	17305/17305	---M-Z	200	added ('OK')	text/javascript	etag:%222970141469%22	http://bdimg.share.baidu.com/static/api/js/share.js?v=89860593.js?cdnversion=	C:/Users/Administrator/Desktop/font-awsome/font-awsome/bdimg.share.baidu.com/static/api/js/share6e53.js	(from http://fontawesome.dashgame.com/)
18:08:47	10449/10449	---MCZ	200	added ('OK')	application/javascript	etag:W/%22669c6f3277b2367ac06ecf3a7be4f1bd%22	https://use.fonticons.com/ffe176a3.js	C:/Users/Administrator/Desktop/font-awsome/font-awsome/use.fonticons.com/ffe176a3.js	(from http://fontawesome.dashgame.com/)
